Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CPHC,Canterbury Park Holding Corporation,10.1,43651190,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/cphc
CPLA,Capella Education Company,86,986030162,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cpla
CBF,Capital Bank Financial Corp.,38.65,1671173011,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf
CCBG,Capital City Bank Group,20.31,341351815.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccbg
CPLP,Capital Product Partners L.P.,3.21,388106732,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cplp
CSWC,Capital Southwest Corporation,16.5,260908015.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cswc
CPTA,Capitala Finance Corp.,13.65,216363119.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cpta
CLAC,Capitol Acquisition Corp. III,10,406250000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/clac
CLACU,Capitol Acquisition Corp. III,10.46,261500000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/clacu
CLACW,Capitol Acquisition Corp. III,0.88,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/clacw
CFFN,"Capitol Federal Financial, Inc.",16.36,2256020147,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn
CAPN,"Capnia, Inc.",0.85,13588909.2,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/capn
CAPNW,"Capnia, Inc.",0.07,0,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/capnw
CAPR,"Capricor Therapeutics, Inc.",2.64,56493410.16,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/capr
CSTR,"CapStar Financial Holdings, Inc.",20.03,224064253,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cstr
CPST,Capstone Turbine Corporation,0.75,26764338,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cpst
CARA,"Cara Therapeutics, Inc.",10.28,280467831.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cara
CARB,"Carbonite, Inc.",15.55,423869892.7,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/carb
CCN,CardConnect Corp.,13.1,376642436.1,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ccn
CFNL,Cardinal Financial Corporation,32.18,1055690741,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfnl
CRME,Cardiome Pharma Corporation,2.93,93415974.05,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crme
CSII,"Cardiovascular Systems, Inc.",23.44,775002415.9,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii
CATM,Cardtronics plc,54.32,2460805998,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/catm
CDNA,"CareDx, Inc.",2.711,57683692.88,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cdna
CECO,Career Education Corporation,10.02,686290691.7,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceco
CTRE,"CareTrust REIT, Inc.",15.56,1002122910,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ctre
CLBH,Carolina Bank Holdings Inc.,25.54,128858443.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/clbh
CARO,Carolina Financial Corporation,30.22,379237428.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caro
CART,"Carolina Trust BancShares, Inc.",7,32553906,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cart
CRZO,"Carrizo Oil & Gas, Inc.",38.8,2527016646,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo
TAST,"Carrols Restaurant Group, Inc.",14.25,510660150,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tast
CRTN,"Cartesian, Inc.",1.14,10156744.5,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/crtn
CARV,"Carver Bancorp, Inc.",3.6,13305913.2,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/carv
CASM,"CAS Medical Systems, Inc.",1.629,44541343.01,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/casm
CACB,Cascade Bancorp,7.95,606286851.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cacb
CASC,"Cascadian Therapeutics, Inc.",4.845,109263180.3,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/casc
